City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,okhotsk,59.3833,143.3,3.34,97,100,5.24,RU,1717449054
156,brisas barra de suchiate,14.55,-92.2167,32.1,69,100,5.3,MX,1717449291
157,dakoro,14.5106,6.765,33.54,29,16,2.17,NE,1717449291
158,island harbour,50.724,-1.2758,17.31,72,100,3.2,GB,1717449291
159,novosmolinskiy,56.2841,43.0507,17.53,96,24,2.55,RU,1717449291
160,illizi,26.4833,8.4667,34.89,25,100,10.82,DZ,1717449291
161,piti village,13.4626,144.6933,29.03,85,40,0.0,GU,1717449194
162,i-n-salah,27.1935,2.4607,34.42,11,21,2.41,DZ,1717449292
163,villa gesell,-37.2639,-56.973,8.36,62,13,2.23,AR,1717449130
164,westport,41.1415,-73.3579,30.71,46,0,2.06,US,1717449292
165,st. john's,47.5649,-52.7093,10.15,98,100,4.12,CA,1717449192
166,tabora,-5.0167,32.8,20.37,55,3,1.13,TZ,1717449292
167,vuktyl,63.8567,57.3094,8.39,90,85,2.24,RU,1717449292
168,belel,7.05,14.4333,18.17,78,63,1.47,CM,1717449292
169,jaru,-10.4389,-62.4664,27.9,70,47,2.28,BR,1717449292
170,williamsburg,37.2707,-76.7075,29.95,67,75,1.54,US,1717449120
171,udachny,66.4167,112.4,13.03,48,100,2.27,RU,1717449293
172,newman,37.3138,-121.0208,28.35,50,100,3.13,US,1717449293
173,qaqortoq,60.7167,-46.0333,5.2,83,94,0.76,GL,1717449293
174,la'ie,21.6477,-157.9253,27.98,85,13,3.13,US,1717449293
175,rukungiri,-0.8411,29.9419,18.84,73,89,0.87,UG,1717449293
176,nguigmi,14.2495,13.1092,33.5,38,35,4.17,NE,1717449293
177,port macquarie,-31.4333,152.9167,8.13,72,14,2.35,AU,1717449293
178,kirakira,-10.4544,161.9205,27.12,84,7,1.91,SB,1717449294
179,qoryooley,1.7878,44.53,25.29,90,46,6.28,SO,1717449294
180,puerto ayora,-0.7393,-90.3518,27.98,96,85,0.45,EC,1717449294
181,alamosa,37.4695,-105.87,27.99,12,0,6.17,US,1717449294
182,carnarvon,-24.8667,113.6333,18.2,66,0,4.37,AU,1717449067
